Date,Time logged,Updated,Zone,Person Count
2023-10-07,17:15:28.141,17:15:28.086,Zone_10-04,0
2023-10-07,17:15:28.141,17:15:28.086,Zone_10-01,0
2023-10-07,17:15:28.141,17:15:28.086,Zone_10-02,0
2023-10-07,17:15:28.142,17:15:28.086,Zone_10-06,0
2023-10-07,17:15:28.142,17:15:28.086,Zone_10-05,0
2023-10-07,17:15:28.142,17:15:28.086,Zone_10-07,0
2023-10-07,17:15:28.142,17:15:28.081,Zone_01-06,0
2023-10-07,17:15:28.143,17:15:28.081,Zone_01-05,0
2023-10-07,17:15:28.143,17:15:28.081,Zone_01-04,0
2023-10-07,17:15:28.143,17:15:28.081,Zone_01-03,0
2023-10-07,17:15:28.143,17:15:28.081,Zone_01-02,0
2023-10-07,17:15:28.144,17:15:28.081,Zone_01-01,0
2023-10-07,17:15:28.144,17:15:28.081,Zone_01-07,0
2023-10-07,17:15:28.144,17:15:28.081,Zone_01-08,0
2023-10-07,17:15:28.608,17:15:28.563,Zone_09-04,0
2023-10-07,17:15:28.608,17:15:28.563,Zone_09-03,0
2023-10-07,17:15:28.608,17:15:28.563,Zone_09-02,0
2023-10-07,17:15:28.609,17:15:28.563,Zone_09-01,0
2023-10-07,17:15:28.609,17:15:28.563,Zone_07-01,0
2023-10-07,17:15:28.609,17:15:28.563,Zone_07-02,0
2023-10-07,17:15:28.609,17:15:28.563,Zone_07-03,0
2023-10-07,17:15:28.610,17:15:28.563,Zone_07-04,0
2023-10-07,17:15:28.610,17:15:28.564,Zone_05-03,0
2023-10-07,17:15:28.610,17:15:28.564,Zone_05-04,0
2023-10-07,17:15:28.610,17:15:28.564,Zone_05-05,0
2023-10-07,17:15:28.611,17:15:28.564,Zone_05-06,0
2023-10-07,17:15:28.611,17:15:28.564,Zone_05-01,0
2023-10-07,17:15:28.611,17:15:28.564,Zone_05-02,0
2023-10-07,17:15:28.611,17:15:28.583,Zone_03-01,0
2023-10-07,17:15:28.612,17:15:28.583,Zone_03-02,0
2023-10-07,17:15:28.612,17:15:28.583,Zone_03-03,0
2023-10-07,17:15:28.612,17:15:28.564,Zone_02-01,0
2023-10-07,17:15:28.612,17:15:28.564,Zone_02-03,0
2023-10-07,17:15:28.613,17:15:28.564,Zone_02-02,0
2023-10-07,17:15:28.613,17:15:28.564,Zone_02-05,0
2023-10-07,17:15:28.613,17:15:28.564,Zone_02-04,0
